date,total_bitcoins
8/24/2012,9776225
8/28/2012,9804325
9/1/2012,9832779.167
9/4/2012,9860285.417
9/8/2012,9889075
9/11/2012,9916908.333
9/15/2012,9945977.083
9/19/2012,9974954.167
9/23/2012,10004097.92
9/26/2012,10031916.67
9/30/2012,10061675
10/4/2012,10090841.67
10/8/2012,10119960.42
10/12/2012,10148225
10/16/2012,10176004.17
10/20/2012,10205039.58
10/24/2012,10233400
10/27/2012,10263079.17
10/31/2012,10291929.17
11/4/2012,10320964.58
11/8/2012,10350208.33
11/12/2012,10378860.42
11/16/2012,10406825
11/20/2012,10435025
11/24/2012,10463775
11/27/2012,10491675
12/1/2012,10510051.04
12/5/2012,10524353.13
12/9/2012,10538413.54
12/13/2012,10552587.5
12/18/2012,10565837.5
12/22/2012,10579253.13
12/26/2012,10593025
12/30/2012,10606766.67
1/2/2013,10620308.33
1/6/2013,10633879.17
1/9/2013,10647312.5
1/14/2013,10660562.5
1/18/2013,10673962.5
1/22/2013,10687632.29
1/26/2013,10701064.58
1/29/2013,10714587.5
2/1/2013,10728437.5
2/5/2013,10741787.5
2/8/2013,10755485.42
2/12/2013,10768997.92
2/15/2013,10782317.71
2/18/2013,10795767.71
2/21/2013,10809087.5
2/24/2013,10822337.5
2/27/2013,10835680.21
3/3/2013,10848887.5
3/6/2013,10862227.08
3/9/2013,10875262.5
3/12/2013,10888462.5
3/16/2013,10901786.46
3/18/2013,10915037.5
3/21/2013,10928237.5
3/23/2013,10941487.5
3/27/2013,10954587.5
3/30/2013,10967711.46
4/2/2013,10980912.5
4/5/2013,10993990.63
4/8/2013,11007087.5
4/11/2013,11020212.5
4/14/2013,11033237.5
4/17/2013,11046337.5
4/21/2013,11059387.5
4/24/2013,11072484.38
4/27/2013,11085543.75
4/30/2013,11098562.5
5/4/2013,11111643.75
5/7/2013,11124654.17
5/10/2013,11137712.5
5/13/2013,11150777.08
5/17/2013,11163911.46
5/20/2013,11176912.5
5/24/2013,11189912.5
5/27/2013,11202937.5
5/30/2013,11216062.5
6/2/2013,11229232.29
6/4/2013,11242512.5
6/7/2013,11255587.5
6/10/2013,11268887.5
6/13/2013,11282012.5
6/16/2013,11295062.5
6/19/2013,11308037.5
6/22/2013,11320962.5
6/26/2013,11333937.5
6/29/2013,11346887.5
7/2/2013,11359937.5
7/5/2013,11373037.5
7/8/2013,11386112.5
7/11/2013,11399087.5
7/14/2013,11412187.5
7/17/2013,11425312.5
7/20/2013,11438612.5
7/23/2013,11451687.5
7/26/2013,11464862.5
7/29/2013,11478062.5
8/1/2013,11491212.5
8/4/2013,11504235.42
8/7/2013,11517412.5
8/10/2013,11530512.5
8/12/2013,11543587.5
8/15/2013,11557232.29
8/18/2013,11570412.5
8/21/2013,11583700
8/23/2013,11596912.5
8/27/2013,11610187.5
8/30/2013,11623137.5
9/1/2013,11636312.5
9/3/2013,11649412.5
9/6/2013,11662653.13
9/10/2013,11675821.88
9/12/2013,11688937.5
9/15/2013,11702295.83
9/18/2013,11715412.5
9/21/2013,11728737.5
9/23/2013,11741837.5
9/26/2013,11755384.38
9/29/2013,11768812.5
10/2/2013,11782237.5
10/5/2013,11795987.5
10/8/2013,11809137.5
10/11/2013,11822598.96
10/14/2013,11836537.5
10/16/2013,11849962.5
10/19/2013,11863712.5
10/21/2013,11877037.5
10/24/2013,11890595.83
10/26/2013,11904012.5
10/29/2013,11917387.5
11/1/2013,11930962.5
11/3/2013,11944137.5
11/6/2013,11957537.5
11/10/2013,11970645.83
11/13/2013,11984200
11/16/2013,11998011.46
11/19/2013,12011612.5
11/23/2013,12024978.13
11/26/2013,12038676.04
11/29/2013,12052221.88
12/2/2013,12065956.25
12/5/2013,12079650
12/8/2013,12093495.83
12/11/2013,12107012.5
12/14/2013,12120662.5
12/17/2013,12134762.5
12/20/2013,12148472.92
12/23/2013,12161869.79
12/26/2013,12175437.5
12/29/2013,12189047.92
1/1/2014,12202950
1/5/2014,12216419.79
1/8/2014,12230115.63
1/10/2014,12243787.5
1/13/2014,12257513.54
1/16/2014,12271061.46
1/20/2014,12284587.5
1/23/2014,12298487.5
1/26/2014,12312555.21
1/29/2014,12326723.96
2/1/2014,12340344.79
2/4/2014,12354106.25
2/8/2014,12368102.08
2/11/2014,12381976.04
2/14/2014,12396081.25
2/17/2014,12410253.13
2/21/2014,12424565.63
2/24/2014,12438931.25
2/27/2014,12453312.5
3/3/2014,12467531.25
3/7/2014,12481748.96
3/10/2014,12496421.88
3/13/2014,12510751.04
3/17/2014,12524810.42
3/20/2014,12538637.5
3/24/2014,12553211.46
3/27/2014,12567137.5
3/30/2014,12581159.38
4/2/2014,12595441.67
4/5/2014,12609501.04
4/9/2014,12623877.08
4/13/2014,12637985.42
4/16/2014,12652460.42
4/19/2014,12667046.88
4/23/2014,12681405.21
4/26/2014,12696134.38
4/30/2014,12710656.25
5/4/2014,12725119.79
5/7/2014,12739219.79
5/11/2014,12753552.08
5/14/2014,12767695.83
5/18/2014,12781988.54
5/21/2014,12796572.92
5/24/2014,12810587.5
5/28/2014,12824598.96
5/31/2014,12838212.5
6/3/2014,12851993.75
6/7/2014,12865837.5
6/11/2014,12879898.96
6/14/2014,12893945.83
6/17/2014,12908259.38
6/20/2014,12922262.5
6/24/2014,12936370.83
6/27/2014,12950293.75
6/30/2014,12964313.54
7/4/2014,12977992.71
7/7/2014,12991760.42
7/11/2014,13005848.96
7/15/2014,13019734.38
7/18/2014,13033765.63
7/22/2014,13047682.29
7/25/2014,13061437.5
7/29/2014,13075358.33
8/2/2014,13090006.25
8/6/2014,13103907.29
8/9/2014,13117981.25
8/12/2014,13132203.13
8/16/2014,13146037.5
8/19/2014,13160417.71
8/22/2014,13174287.5
